doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
dang-ky-lich-hoc-thoi-khoa-bieu-cho-sinh-vien-khoa-2024-2025-hoc-theo-tien-trinh-rut-gon-cua-hoc-ky-i-nam-hoc-2026-2027,data/k3_university/dang-ky-lich-hoc-thoi-khoa-bieu-cho-sinh-vien-khoa-2024-2025-hoc-theo-tien-trinh-rut-gon-cua-hoc-ky-i-nam-hoc-2026-2027.md,"Đăng ký lịch học (thời khoá biểu) cho sinh viên khoá 2024, 2025 học theo tiến trình rút gọn của học kỳ I, năm học 2026-2027",https://giaovu.ptit.edu.vn/dang-ky-lich-hoc-thoi-khoa-bieu-cho-sinh-vien-khoa-2024-2025-hoc-theo-tien-trinh-rut-gon-cua-hoc-ky-i-nam-hoc-2026-2027/,2026-08-03,16/06/2026,public-page
thong-bao-v-v-huy-cac-lop-hoc-phan-dot-hoc-lai-ky-phu-he-nam-hoc-2025-2026,data/k3_university/thong-bao-v-v-huy-cac-lop-hoc-phan-dot-hoc-lai-ky-phu-he-nam-hoc-2025-2026.md,Thông báo V/v: Hủy các lớp học phần đợt học lại kỳ phụ (hè) năm học 2025-2026,https://giaovu.ptit.edu.vn/thong-bao-v-v-huy-cac-lop-hoc-phan-dot-hoc-lai-ky-phu-he-nam-hoc-2025-2026/,2026-08-03,15/06/2026,public-page
dang-ky-thoi-khoa-bieu-cac-lop-hoc-phan-trong-dot-hoc-ky-phu-ky-he-nam-hoc-2025-2026,data/k3_university/dang-ky-thoi-khoa-bieu-cac-lop-hoc-phan-trong-dot-hoc-ky-phu-ky-he-nam-hoc-2025-2026.md,Đăng ký thời khóa biểu các lớp học phần trong đợt học kỳ phụ (kỳ hè)  năm học 2025-2026,https://giaovu.ptit.edu.vn/dang-ky-thoi-khoa-bieu-cac-lop-hoc-phan-trong-dot-hoc-ky-phu-ky-he-nam-hoc-2025-2026/,2026-08-03,04/06/2026,public-page
to-chuc-dang-ky-hoc-vuot-hoc-ky-i-nam-hoc-2026-2027-doi-voi-sinh-vien-khoa-2024-2025,data/k3_university/to-chuc-dang-ky-hoc-vuot-hoc-ky-i-nam-hoc-2026-2027-doi-voi-sinh-vien-khoa-2024-2025.md,"Tổ chức đăng ký học vượt học kỳ I năm học 2026 – 2027  Đối với sinh viên khóa 2024, 2025",https://giaovu.ptit.edu.vn/to-chuc-dang-ky-hoc-vuot-hoc-ky-i-nam-hoc-2026-2027-doi-voi-sinh-vien-khoa-2024-2025/,2026-08-03,02/06/2026,public-page
tap-trung-pho-bien-ke-hoach-dang-ky-mon-hoc-ky-i-nam-hoc-2026-2027,data/k3_university/tap-trung-pho-bien-ke-hoach-dang-ky-mon-hoc-ky-i-nam-hoc-2026-2027.md,Tập trung phổ biến kế hoạch đăng ký môn học kỳ I năm học 2026-2027,https://giaovu.ptit.edu.vn/tap-trung-pho-bien-ke-hoach-dang-ky-mon-hoc-ky-i-nam-hoc-2026-2027/,2026-08-03,28/05/2026,public-page
to-chuc-hoc-hoc-ky-phu-ky-he-nam-hoc-2025-2026,data/k3_university/to-chuc-hoc-hoc-ky-phu-ky-he-nam-hoc-2025-2026.md,Tổ chức học học kỳ phụ (kỳ hè) năm học 2025-2026,https://giaovu.ptit.edu.vn/to-chuc-hoc-hoc-ky-phu-ky-he-nam-hoc-2025-2026/,2026-08-03,11/05/2026,public-page
huy-cac-lop-hoc-phan-dot-hoc-lop-rieng-hoc-ky-2-nam-hoc-2025-2026,data/k3_university/huy-cac-lop-hoc-phan-dot-hoc-lop-rieng-hoc-ky-2-nam-hoc-2025-2026.md,"Hủy các lớp học phần đợt học lớp riêng, học kỳ 2 năm học 2025-2026",https://giaovu.ptit.edu.vn/huy-cac-lop-hoc-phan-dot-hoc-lop-rieng-hoc-ky-2-nam-hoc-2025-2026/,2026-08-03,26/03/2026,public-page
dang-ky-thoi-khoa-bieu-cac-lop-hoc-phan-trong-dot-hoc-lop-rieng-hoc-ky-2-nam-hoc-2025-2026,data/k3_university/dang-ky-thoi-khoa-bieu-cac-lop-hoc-phan-trong-dot-hoc-lop-rieng-hoc-ky-2-nam-hoc-2025-2026.md,Đăng ký thời khóa biểu các lớp học phần trong đợt học lớp riêng  Học kỳ 2 – năm học 2025-2026,https://giaovu.ptit.edu.vn/dang-ky-thoi-khoa-bieu-cac-lop-hoc-phan-trong-dot-hoc-lop-rieng-hoc-ky-2-nam-hoc-2025-2026/,2026-08-03,20/03/2026,public-page
dieu-chinh-lich-dang-ky-hoc-lai-hoc-cai-thien-hoc-2-van-bang-tren-qldt-hoc-ky-2-nam-hoc-2025-2026,data/k3_university/dieu-chinh-lich-dang-ky-hoc-lai-hoc-cai-thien-hoc-2-van-bang-tren-qldt-hoc-ky-2-nam-hoc-2025-2026.md,"Điều chỉnh lịch đăng ký học lại, học cải thiện, học 2 văn bằng trên QLĐT học kỳ 2 năm học 2025-2026",https://giaovu.ptit.edu.vn/dieu-chinh-lich-dang-ky-hoc-lai-hoc-cai-thien-hoc-2-van-bang-tren-qldt-hoc-ky-2-nam-hoc-2025-2026/,2026-08-03,08/01/2026,public-page
lich-nghi-tet-duong-lich-nam-2026-va-dieu-chinh-lich-thi-lich-dang-ky-hoc-phan,data/k3_university/lich-nghi-tet-duong-lich-nam-2026-va-dieu-chinh-lich-thi-lich-dang-ky-hoc-phan.md,"Lịch nghỉ Tết Dương lịch năm 2026 và điều chỉnh lịch thi, lịch đăng ký học phần",https://giaovu.ptit.edu.vn/lich-nghi-tet-duong-lich-nam-2026-va-dieu-chinh-lich-thi-lich-dang-ky-hoc-phan/,2026-08-03,01/01/2026,public-page
